curso",asignatura"
"Educación infantil 4º ( 3 años )","ATU-Atención Educativa"
"Educación infantil 4º ( 3 años )","CCY-Conocimiento de sí mismo y autonomía personal"
"Educación infantil 4º ( 3 años )","CEO-Conocimiento del Entorno"
"Educación infantil 4º ( 3 años )","LNO-Lenguajes: comunicación y representación"
"Educación infantil 4º ( 3 años )","LNI-Lenguajes: comunicación y representación (Inglés)"
"Educación infantil 5º ( 4 años )","ATU-Atención Educativa"
"Educación infantil 5º ( 4 años )","CCY-Conocimiento de sí mismo y autonomía personal"
"Educación infantil 5º ( 4 años )","CEO-Conocimiento del Entorno"
"Educación infantil 5º ( 4 años )","LNO-Lenguajes: comunicación y representación"
"Educación infantil 5º ( 4 años )","LNI-Lenguajes: comunicación y representación (Inglés)"
"Educación infantil 6º ( 5 años )","ATU-Atención Educativa"
"Educación infantil 6º ( 5 años )","CCY-Conocimiento de sí mismo y autonomía personal"
"Educación infantil 6º ( 5 años )","CEO-Conocimiento del Entorno"
"Educación infantil 6º ( 5 años )","LNO-Lenguajes: comunicación y representación"
"Educación infantil 6º ( 5 años )","LNI-Lenguajes: comunicación y representación (Inglés)"
"1º Educación Primaria (LOMCE)","CNA-Ciencias de la Naturaleza"
"2º Educación Primaria (LOMCE)","CSO-Ciencias Sociales"
"3º Educación Primaria (LOMCE)","EAR-Educación Artística"
"4º Educación Primaria (LOMCE)","EUM-Educación Emocional y para la Creatividad"
"5º Educación Primaria (LOMCE)","EFI-Educación Física"
"6º Educación Primaria (LOMCE)","LCL-Lengua Castellana y Literatura"
"7º Educación Primaria (LOMCE)","MAT-Matemáticas"
"8º Educación Primaria (LOMCE)","PLW-Primera Lengua Extranjera (Inglés)"
"9º Educación Primaria (LOMCE)","VAL-Valores Sociales y Cívicos"
"2º Educación Primaria (LOMCE)","CNA-Ciencias de la Naturaleza"
"3º Educación Primaria (LOMCE)","CSO-Ciencias Sociales"
"4º Educación Primaria (LOMCE)","EAR-Educación Artística"
"5º Educación Primaria (LOMCE)","EUM-Educación Emocional y para la Creatividad"
"6º Educación Primaria (LOMCE)","EFI-Educación Física"
"7º Educación Primaria (LOMCE)","LCL-Lengua Castellana y Literatura"
"8º Educación Primaria (LOMCE)","MAT-Matemáticas"
"9º Educación Primaria (LOMCE)","PLW-Primera Lengua Extranjera (Inglés)"
"10º Educación Primaria (LOMCE)","VAL-Valores Sociales y Cívicos"
"3º Educación Primaria (LOMCE)","CNA-Ciencias de la Naturaleza"
"4º Educación Primaria (LOMCE)","CSO-Ciencias Sociales"
"5º Educación Primaria (LOMCE)","EAR-Educación Artística"
"6º Educación Primaria (LOMCE)","EUM-Educación Emocional y para la Creatividad"
"7º Educación Primaria (LOMCE)","EFI-Educación Física"
"8º Educación Primaria (LOMCE)","LCL-Lengua Castellana y Literatura"
"9º Educación Primaria (LOMCE)","MAT-Matemáticas"
"10º Educación Primaria (LOMCE)","PLW-Primera Lengua Extranjera (Inglés)"
"11º Educación Primaria (LOMCE)","VAL-Valores Sociales y Cívicos"
"4º Educación Primaria (LOMCE)","CNA-Ciencias de la Naturaleza"
"5º Educación Primaria (LOMCE)","CSO-Ciencias Sociales"
"6º Educación Primaria (LOMCE)","EAR-Educación Artística"
"7º Educación Primaria (LOMCE)","EUM-Educación Emocional y para la Creatividad"
"8º Educación Primaria (LOMCE)","EFI-Educación Física"
"9º Educación Primaria (LOMCE)","LCL-Lengua Castellana y Literatura"
"10º Educación Primaria (LOMCE)","MAT-Matemáticas"
"11º Educación Primaria (LOMCE)","PLW-Primera Lengua Extranjera (Inglés)"
"12º Educación Primaria (LOMCE)","VAL-Valores Sociales y Cívicos"
"5º Educación Primaria (LOMCE)","CNA-Ciencias de la Naturaleza"
"6º Educación Primaria (LOMCE)","CSO-Ciencias Sociales"
"7º Educación Primaria (LOMCE)","EAR-Educación Artística"
"8º Educación Primaria (LOMCE)","EFI-Educación Física"
"9º Educación Primaria (LOMCE)","LCL-Lengua Castellana y Literatura"
"10º Educación Primaria (LOMCE)","MAT-Matemáticas"
"11º Educación Primaria (LOMCE)","PLW-Primera Lengua Extranjera (Inglés)"
"12º Educación Primaria (LOMCE)","SGA-Segunda Lengua Extranjera (Alemán)"
"13º Educación Primaria (LOMCE)","SGN-Segunda Lengua Extranjera (Francés)"
"14º Educación Primaria (LOMCE)","VAL-Valores Sociales y Cívicos"
"6º Educación Primaria (LOMCE)","CNA-Ciencias de la Naturaleza"
"7º Educación Primaria (LOMCE)","CSO-Ciencias Sociales"
"8º Educación Primaria (LOMCE)","EAR-Educación Artística"
"9º Educación Primaria (LOMCE)","EFI-Educación Física"
"10º Educación Primaria (LOMCE)","LCL-Lengua Castellana y Literatura"
"11º Educación Primaria (LOMCE)","MAT-Matemáticas"
"12º Educación Primaria (LOMCE)","PLW-Primera Lengua Extranjera (Inglés)"
"13º Educación Primaria (LOMCE)","SGA-Segunda Lengua Extranjera (Alemán)"
"14º Educación Primaria (LOMCE)","SGN-Segunda Lengua Extranjera (Francés)"
"15º Educación Primaria (LOMCE)","VAL-Valores Sociales y Cívicos"
