curso;asignatura
Educaci¢n infantil 4§ ( 3 a¤os );ATU-Atenci¢n Educativa
Educaci¢n infantil 4§ ( 3 a¤os );CCY-Conocimiento de s¡ mismo y autonom¡a personal
Educaci¢n infantil 4§ ( 3 a¤os );CEO-Conocimiento del Entorno
Educaci¢n infantil 4§ ( 3 a¤os );LNO-Lenguajes: comunicaci¢n y representaci¢n
Educaci¢n infantil 4§ ( 3 a¤os );LNI-Lenguajes: comunicaci¢n y representaci¢n (Ingl‚s)
Educaci¢n infantil 5§ ( 4 a¤os );ATU-Atenci¢n Educativa
Educaci¢n infantil 5§ ( 4 a¤os );CCY-Conocimiento de s¡ mismo y autonom¡a personal
Educaci¢n infantil 5§ ( 4 a¤os );CEO-Conocimiento del Entorno
Educaci¢n infantil 5§ ( 4 a¤os );LNO-Lenguajes: comunicaci¢n y representaci¢n
Educaci¢n infantil 5§ ( 4 a¤os );LNI-Lenguajes: comunicaci¢n y representaci¢n (Ingl‚s)
Educaci¢n infantil 6§ ( 5 a¤os );ATU-Atenci¢n Educativa
Educaci¢n infantil 6§ ( 5 a¤os );CCY-Conocimiento de s¡ mismo y autonom¡a personal
Educaci¢n infantil 6§ ( 5 a¤os );CEO-Conocimiento del Entorno
Educaci¢n infantil 6§ ( 5 a¤os );LNO-Lenguajes: comunicaci¢n y representaci¢n
Educaci¢n infantil 6§ ( 5 a¤os );LNI-Lenguajes: comunicaci¢n y representaci¢n (Ingl‚s)
1§ Educaci¢n Primaria (LOMCE);CNA-Ciencias de la Naturaleza
2§ Educaci¢n Primaria (LOMCE);CSO-Ciencias Sociales
3§ Educaci¢n Primaria (LOMCE);EAR-Educaci¢n Art¡stica
4§ Educaci¢n Primaria (LOMCE);EUM-Educaci¢n Emocional y para la Creatividad
5§ Educaci¢n Primaria (LOMCE);EFI-Educaci¢n F¡sica
6§ Educaci¢n Primaria (LOMCE);LCL-Lengua Castellana y Literatura
7§ Educaci¢n Primaria (LOMCE);MAT-Matem ticas
8§ Educaci¢n Primaria (LOMCE);PLW-Primera Lengua Extranjera (Ingl‚s)
9§ Educaci¢n Primaria (LOMCE);VAL-Valores Sociales y C¡vicos
2§ Educaci¢n Primaria (LOMCE);CNA-Ciencias de la Naturaleza
3§ Educaci¢n Primaria (LOMCE);CSO-Ciencias Sociales
4§ Educaci¢n Primaria (LOMCE);EAR-Educaci¢n Art¡stica
5§ Educaci¢n Primaria (LOMCE);EUM-Educaci¢n Emocional y para la Creatividad
6§ Educaci¢n Primaria (LOMCE);EFI-Educaci¢n F¡sica
7§ Educaci¢n Primaria (LOMCE);LCL-Lengua Castellana y Literatura
8§ Educaci¢n Primaria (LOMCE);MAT-Matem ticas
